0,0.08,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,
1,-0.00535342,0.0124167,0.0359547,0.032978,0.0432679,0.0597418,0.076736,0.0920771,0.104671,0.114068,0.120149,0.122988,0.122758,0.119688,0.11402,0.106014,0.0959597,0.0841778,0.0710127,0.0568387,0.0420617,0.0270832,0.0122983,-0.0019165,-0.0152404,-0.02741,-0.0382075,-0.047514,-0.0552358,-0.0613588,-0.0659485,-0.0690736,-0.0708031,-0.0712246,-0.070456,-0.0686174,-0.0658202,-0.0621495,-0.0576856,-0.0525086,-0.0466991,-0.0403373,-0.0335035,-0.0262778,-0.0187213,-0.0108642,-0.00273386,0.00564225,0.0142367,0.023022,0.0319708,
2,0.00777081,-0.00963044,-0.0148127,0.000349221,0.0154025,0.0256513,0.0309437,0.031807,0.0291452,0.023948,0.017225,0.00995123,0.00297325,-0.00307351,-0.00784101,-0.0112482,-0.0135463,-0.0150785,-0.0161154,-0.0168817,-0.01756,-0.0183178,-0.0192886,-0.0205943,-0.0223345,-0.024572,-0.0273498,-0.0306699,-0.0345229,-0.0388816,-0.043688,-0.0488812,-0.0544007,-0.0601826,-0.066147,-0.0722109,-0.0783007,-0.0843895,-0.0904643,-0.0965122,-0.10252,-0.108475,-0.114364,-0.120174,-0.125897,-0.131536,-0.137102,-0.142601,-0.148042,-0.153432,-0.158779,
3,-0.0327239,-0.0306465,-0.0411876,-0.0629954,-0.0673074,-0.0646863,-0.0604559,-0.0563058,-0.052935,-0.0504916,-0.0488987,-0.0479744,-0.0475036,-0.0472868,-0.047175,-0.0470397,-0.0468355,-0.0465646,-0.0462837,-0.0460905,-0.0461071,-0.0464639,-0.0472902,-0.0487061,-0.0508063,-0.0536477,-0.0572698,-0.061663,-0.0668024,-0.0726152,-0.0789472,-0.0856376,-0.0925258,-0.0994428,-0.106177,-0.112507,-0.118249,-0.123374,-0.127899,-0.131838,-0.135208,-0.138023,-0.1403,-0.142054,-0.143303,-0.144085,-0.144444,-0.144425,-0.144071,-0.143426,-0.142534,
4,-0.00185997,-0.0125094,-0.0584268,-0.0713509,-0.0736341,-0.0740214,-0.0744436,-0.0752631,-0.0764083,-0.0776436,-0.0787345,-0.0794524,-0.0795909,-0.0790166,-0.0776902,-0.0756535,-0.0730164,-0.0699452,-0.0666427,-0.063332,-0.0602489,-0.0576198,-0.0556443,-0.0544965,-0.0542925,-0.0551023,-0.0569546,-0.0597687,-0.0634389,-0.0678344,-0.0727888,-0.0781333,-0.0836995,-0.089316,-0.0947986,-0.0999602,-0.104647,-0.108831,-0.112517,-0.11571,-0.118415,-0.120634,-0.122373,-0.123637,-0.124438,-0.124814,-0.124806,-0.124452,-0.123794,-0.12287,-0.121722,
5,-0.0197822,0.0544295,0.0593604,0.0713755,0.0804587,0.0874347,0.093467,0.0986093,0.102606,0.105104,0.105884,0.10484,0.101979,0.0973884,0.0912007,0.0835691,0.074667,0.0646829,0.0538137,0.0422677,0.0302667,0.018038,0.00582433,-0.00612841,-0.0175771,-0.0283008,-0.0381023,-0.0468333,-0.0543588,-0.0606198,-0.0656271,-0.0693938,-0.0719336,-0.0732949,-0.0735837,-0.0729113,-0.0713817,-0.0690761,-0.0660713,-0.062444,-0.058271,-0.053629,-0.0485948,-0.0432447,-0.0376344,-0.0317878,-0.0257267,-0.0194724,-0.0130465,-0.00647065,0.000233738,
6,0.0141361,0.0149046,0.00478578,0.0161451,0.0276608,0.0368466,0.0439818,0.0493427,0.0532679,0.0560634,0.0580863,0.0597811,0.0616652,0.0642299,0.0679016,0.0730302,0.0798434,0.0884158,0.0986804,0.110437,0.12338,0.137152,0.151312,0.165406,0.178977,0.191598,0.202898,0.212653,0.22068,0.226911,0.231408,0.234239,0.235472,0.235212,0.233639,0.230942,0.227296,0.222808,0.217574,0.211688,0.205243,0.198335,0.191056,0.183502,0.175742,0.167797,0.159685,0.15142,0.14302,0.134501,0.125878,
7,-0.0562619,-0.0207612,-0.0389532,-0.0490377,-0.0574265,-0.0664862,-0.0762711,-0.0862815,-0.0958183,-0.104233,-0.111065,-0.11597,-0.118709,-0.119161,-0.117322,-0.11329,-0.107261,-0.0995086,-0.0903743,-0.0802269,-0.0694521,-0.0584242,-0.0474873,-0.0369625,-0.0271216,-0.0181988,-0.0103948,-0.00382575,0.00141275,0.00529435,0.00787006,0.00919487,0.00932387,0.00833141,0.00633463,0.00345624,-0.000190211,-0.00452663,-0.00948349,-0.0149912,-0.0209804,-0.0273813,-0.0341245,-0.0411406,-0.0483757,-0.0558085,-0.063421,-0.0711956,-0.0791144,-0.0871598,-0.0953139,
8,-0.0220552,-0.00963273,0.011632,0.0192022,0.022921,0.0272036,0.0329391,0.0397382,0.0469362,0.0538605,0.0599705,0.0648673,0.0683053,0.0701766,0.0704787,0.069295,0.0667713,0.0630922,0.0584557,0.0530531,0.0470838,0.0407335,0.0341776,0.0275871,0.0211152,0.0148952,0.00904184,0.00364096,-0.00122973,-0.00553343,-0.00925223,-0.0123674,-0.0148608,-0.0167382,-0.0180257,-0.018749,-0.0189355,-0.0186247,-0.0178606,-0.0166868,-0.0151471,-0.0132854,-0.0111453,-0.0087702,-0.00618825,-0.00341657,-0.000472956,0.00262482,0.00585896,0.0092117,0.0126652,
9,0.000568961,0.0350657,0.0533118,0.0626821,0.063263,0.0615853,0.0596248,0.0578503,0.056425,0.0553523,0.0545767,0.0540091,0.0535457,0.0530826,0.0525085,0.0517103,0.0505986,0.0491261,0.0472854,0.0451072,0.0426562,0.0400054,0.0372464,0.0344721,0.03177,0.0292231,0.026905,0.0248686,0.0231609,0.0218002,0.0207845,0.0201114,0.0197782,0.0197709,0.0200628,0.0206267,0.0214373,0.022473,0.0237126,0.0251346,0.0267179,0.028441,0.0302828,0.0322221,0.0342449,0.0363441,0.0385126,0.0407433,0.043029,0.0453626,0.0477371,
10,0.028723,0.0190851,0.0557557,0.0795767,0.095472,0.107006,0.115365,0.120948,0.124,0.124685,0.123204,0.119833,0.114919,0.108838,0.10197,0.0946761,0.0872631,0.0799628,0.0729404,0.0663134,0.0601679,0.0545676,0.0495427,0.0451101,0.0412663,0.0380138,0.0353573,0.0333064,0.0318709,0.0310454,0.0308183,0.0311782,0.0321132,0.033587,0.0355293,0.0378673,0.0405362,0.0434934,0.0467008,0.0501204,0.0537141,0.0574437,0.0612711,0.0651586,0.0690832,0.0730411,0.0770294,0.0810451,0.0850855,0.0891477,0.0932289,
