maturity,vol1,vol1fitted,vol2,vol2fitted,vol3,vol3fitted
0.08,0.000158052,0.00233694,0.000209176,0.0036106,-1.4259e-005,0.00467784
0.5,0.00255092,0.0038442,0.00351128,0.00381884,0.00349305,0.00396567
1,0.00455394,0.00441429,0.00513819,0.00401522,0.00514389,0.00318156
1.5,0.00520666,0.00474778,0.00523585,0.00415813,0.00455031,0.00246446
2,0.00547236,0.00498439,0.00505611,0.00425027,0.00351357,0.00181199
2.5,0.00565883,0.00516792,0.00487256,0.00429432,0.00250465,0.00122177
3,0.00583025,0.00531787,0.00471058,0.00429297,0.00159861,0.000691406
3.5,0.00599751,0.00544466,0.00456084,0.00424889,0.000797411,0.000218527
4,0.00616028,0.00555448,0.00441232,0.00416479,9.07047e-005,-0.000199253
4.5,0.00631528,0.00565136,0.00425647,0.00404333,-0.000528863,-0.000564315
5,0.0064586,0.00573801,0.00408643,0.0038872,-0.00106468,-0.000879041
5.5,0.00658638,0.0058164,0.00389653,0.0036991,-0.00151747,-0.00114581
6,0.00669528,0.00588797,0.00368204,0.0034817,-0.00188691,-0.00136702
6.5,0.00678264,0.0059538,0.00343895,0.0032377,-0.00217283,-0.00154503
7,0.00684694,0.00601475,0.00316412,0.00296977,-0.00237638,-0.00168223
7.5,0.00688797,0.0060715,0.0028557,0.00268061,-0.00250045,-0.00178101
8,0.00690682,0.00612458,0.0025134,0.00237289,-0.00254959,-0.00184375
8.5,0.00690576,0.00617444,0.0021385,0.00204931,-0.00253026,-0.00187282
9,0.00688784,0.00622145,0.00173405,0.00171254,-0.00245027,-0.00187061
9.5,0.00685659,0.00626592,0.00130494,0.00136528,-0.00231856,-0.00183951
10,0.00681588,0.00630811,0.000857672,0.0010102,-0.00214466,-0.00178189
10.5,0.00676948,0.00634824,0.000400223,0.000649999,-0.00193818,-0.00170014
11,0.00672073,0.0063865,-5.83967e-005,0.000287357,-0.00170841,-0.00159663
11.5,0.0066723,0.00642306,-0.000509104,-7.50413e-005,-0.00146397,-0.00147376
12,0.00662615,0.00645806,-0.000942984,-0.00043451,-0.0012125,-0.0013339
12.5,0.00658367,0.00649164,-0.00135181,-0.000788364,-0.000960798,-0.00117943
13,0.00654567,0.0065239,-0.0017286,-0.00113392,-0.000714478,-0.00101274
13.5,0.00651242,0.00655494,-0.00206804,-0.00146849,-0.000477783,-0.000836211
14,0.00648401,0.00658485,-0.00236671,-0.00178938,-0.000253751,-0.000652219
14.5,0.00646045,0.00661371,-0.00262279,-0.00209393,-4.46345e-005,-0.00046315
15,0.00644144,0.00664159,-0.00283552,-0.00237943,0.000147732,-0.000271386
15.5,0.00642646,0.00666856,-0.00300508,-0.0026432,0.000322104,-7.93077e-005
16,0.00641488,0.00669468,-0.00313265,-0.00288256,0.000477861,0.000110702
16.5,0.00640622,0.00671998,-0.00322029,-0.00309483,0.000614888,0.000296261
17,0.00640011,0.00674454,-0.00327055,-0.00327731,0.000733324,0.000474988
17.5,0.00639619,0.00676838,-0.00328609,-0.00342733,0.000833651,0.0006445
18,0.00639404,0.00679155,-0.00326967,-0.00354219,0.000916525,0.000802416
18.5,0.00639342,0.00681408,-0.00322413,-0.00361922,0.00098288,0.000946354
19,0.0063942,0.00683602,-0.0031524,-0.00365572,0.00103379,0.00107393
19.5,0.00639624,0.00685738,-0.00305742,-0.00364901,0.00107035,0.00118277
20,0.00639929,0.00687821,-0.00294225,-0.00359641,0.00109378,0.00127048
20.5,0.00640316,0.00689851,-0.00280981,-0.00349523,0.00110541,0.00133468
21,0.00640769,0.00691833,-0.00266285,-0.00334279,0.00110647,0.00137299
21.5,0.00641276,0.00693769,-0.00250363,-0.0031364,0.00109807,0.00138304
22,0.00641827,0.0069566,-0.00233381,-0.00287337,0.00108116,0.00136243
22.5,0.00642423,0.00697508,-0.00215463,-0.00255102,0.00105662,0.00130879
23,0.00643065,0.00699316,-0.0019672,-0.00216667,0.00102533,0.00121973
23.5,0.00643756,0.00701084,-0.00177251,-0.00171762,0.000988064,0.00109287
24,0.00644499,0.00702816,-0.00157154,-0.00120121,0.000945583,0.000925836
24.5,0.00645296,0.00704512,-0.00136524,-0.000614724,0.000898646,0.000716236
25,0.0064615,0.00706174,-0.00115458,4.4503e-005,0.000848005,0.000461692

